Order,Order ID,Discount,Profit,Profit Ratio,Profit RatioTF,Quantity,Sales,Sales_ifNoDiscount,DiscountValue,Cost,Profit_ifNoDiscount,NewProfitRatio
46,CA-2014-101749,0.2,-6,-0.04,Negative,3,171,214,-43,177,37,0.17
47,CA-2012-112116,0,45,0.26,Positive,2,172,172,0,127,45,0.26
48,CA-2011-121769,0.4,-95,-0.55,Negative,1,172,287,-115,267,20,0.07
49,CA-2011-169775,0.45,-111,-0.64,Negative,3,174,316,-142,285,31,0.1
50,CA-2013-146934,0.3,-20,-0.11,Negative,2,174,249,-75,194,55,0.22
51,CA-2013-157749,0.5,-121,-0.68,Negative,5,177,354,-177,298,56,0.16
52,CA-2014-101581,0.5,-121,-0.68,Negative,5,177,354,-177,298,56,0.16
53,CA-2013-140746,0.3,-16,-0.09,Negative,1,182,260,-78,198,62,0.24
54,CA-2014-142909,0.5,-135,-0.74,Negative,2,183,366,-183,318,48,0.13
55,CA-2014-151225,0.2,9,0.05,Positive,1,190,238,-48,181,57,0.24
56,US-2013-120929,0.4,-95,-0.5,Negative,3,190,317,-127,285,32,0.1
57,CA-2012-122266,0.45,-77,-0.4,Negative,1,192,349,-157,269,80,0.23
58,CA-2011-166086,0.3,-39,-0.2,Negative,2,194,277,-83,233,44,0.16
59,CA-2012-136469,0.3,-37,-0.19,Negative,4,200,286,-86,237,49,0.17
60,CA-2011-105165,0.3,-23,-0.11,Negative,1,201,287,-86,224,63,0.22
61,US-2013-161396,0.4,-58,-0.28,Negative,2,205,342,-137,263,79,0.23
62,CA-2014-131807,0.2,5,0.02,Positive,3,206,258,-52,201,57,0.22
63,CA-2012-139094,0.3,-33,-0.16,Negative,2,207,296,-89,240,56,0.19
64,CA-2013-105459,0.4,-66,-0.32,Negative,2,209,348,-139,275,73,0.21
65,CA-2012-159786,0.4,-14,-0.07,Negative,1,210,350,-140,224,126,0.36
66,CA-2014-131037,0.2,3,0.01,Positive,1,210,263,-53,207,56,0.21
67,CA-2014-145142,0,21,0.1,Positive,2,211,211,0,190,21,0.1
68,US-2012-168704,0.3,-45,-0.21,Negative,2,211,301,-90,256,45,0.15
69,CA-2012-135685,0,36,0.17,Positive,3,214,214,0,178,36,0.17
70,US-2011-140452,0.5,-120,-0.56,Negative,5,215,430,-215,335,95,0.22
71,US-2014-111024,0.4,-104,-0.48,Negative,2,215,358,-143,319,39,0.11
72,CA-2011-133690,0.5,-162,-0.74,Negative,2,219,438,-219,381,57,0.13
73,US-2014-152380,0.5,-131,-0.6,Negative,3,219,438,-219,350,88,0.2
74,US-2014-100930,0.45,-102,-0.44,Negative,2,234,425,-191,336,89,0.21
75,US-2014-163657,0.2,-3,-0.01,Negative,2,237,296,-59,240,56,0.19
76,CA-2013-131296,0.3,-24,-0.1,Negative,2,239,341,-102,263,78,0.23
77,CA-2014-125451,0.3,-14,-0.06,Negative,4,241,344,-103,255,89,0.26
78,CA-2012-106257,0.2,-15,-0.06,Negative,2,242,303,-61,257,46,0.15
79,CA-2013-159912,0.4,-56,-0.23,Negative,4,242,403,-161,298,105,0.26
80,CA-2012-137512,0.3,-31,-0.13,Negative,2,244,349,-105,275,74,0.21
81,US-2013-128902,0.3,-31,-0.13,Negative,2,244,349,-105,275,74,0.21
82,CA-2013-145982,0.3,21,0.09,Positive,1,245,350,-105,224,126,0.36
83,CA-2014-130211,0,55,0.22,Positive,2,249,249,0,194,55,0.22
84,CA-2014-152583,0.3,-68,-0.27,Negative,2,251,359,-108,319,40,0.11
85,CA-2012-152891,0.2,-32,-0.13,Negative,3,253,316,-63,285,31,0.1
86,CA-2014-157987,0.4,-93,-0.37,Negative,1,255,425,-170,348,77,0.18
87,CA-2014-141439,0,67,0.26,Positive,3,258,258,0,191,67,0.26
88,CA-2014-145884,0,63,0.24,Positive,1,262,262,0,199,63,0.24
89,CA-2013-149762,0.2,7,0.02,Positive,3,269,336,-67,262,74,0.22
90,CA-2011-106229,0.5,-210,-0.78,Negative,3,269,538,-269,479,59,0.11
91,CA-2011-116932,0.2,27,0.1,Positive,1,273,341,-68,246,95,0.28
92,US-2014-147669,0.4,-105,-0.38,Negative,2,273,455,-182,378,77,0.17
93,CA-2012-141593,0.2,10,0.04,Positive,2,274,343,-69,264,79,0.23
94,US-2011-112872,0.5,-171,-0.62,Negative,1,275,550,-275,446,104,0.19
95,CA-2012-112767,0.5,-189,-0.68,Negative,4,278,556,-278,467,89,0.16
96,CA-2014-128041,0,45,0.16,Positive,4,284,284,0,239,45,0.16
97,CA-2012-139584,0.4,-76,-0.27,Negative,2,284,473,-189,360,113,0.24
98,CA-2014-147277,0.4,-76,-0.27,Negative,2,284,473,-189,360,113,0.24
99,CA-2014-117632,0.2,-11,-0.04,Negative,5,285,356,-71,296,60,0.17
100,CA-2014-118199,0,63,0.22,Positive,1,287,287,0,224,63,0.22
101,CA-2011-163468,0.5,-175,-0.6,Negative,4,292,584,-292,467,117,0.2
102,CA-2014-113705,0,58,0.2,Positive,2,292,292,0,234,58,0.2
103,CA-2014-167549,0.3,-4,-0.01,Negative,6,298,426,-128,302,124,0.29
104,CA-2013-160500,0.2,7,0.03,Positive,3,299,374,-75,292,82,0.22
105,CA-2014-162978,0.2,11,0.04,Positive,1,301,376,-75,290,86,0.23
106,CA-2014-127096,0.2,11,0.04,Positive,1,301,376,-75,290,86,0.23
107,CA-2013-146206,0.3,-34,-0.11,Negative,5,301,430,-129,335,95,0.22
108,CA-2012-108119,0,45,0.15,Positive,2,302,302,0,257,45,0.15
109,CA-2014-137449,0.3,-40,-0.13,Negative,3,307,439,-132,347,92,0.21
110,CA-2014-166142,0.3,-49,-0.16,Negative,3,310,443,-133,359,84,0.19
111,CA-2013-130288,0.4,-120,-0.38,Negative,2,313,522,-209,433,89,0.17
112,CA-2013-110975,0.4,-120,-0.38,Negative,2,313,522,-209,433,89,0.17
113,CA-2013-168046,0.4,-99,-0.32,Negative,3,314,523,-209,413,110,0.21
114,US-2014-132381,0.4,-84,-0.27,Negative,2,315,525,-210,399,126,0.24
115,CA-2011-169684,0.4,-148,-0.45,Negative,3,329,548,-219,477,71,0.13
116,CA-2013-162187,0.4,-148,-0.45,Negative,3,329,548,-219,477,71,0.13
117,US-2011-117380,0.4,-143,-0.43,Negative,1,331,552,-221,474,78,0.14
118,CA-2013-139157,0.4,-116,-0.35,Negative,1,331,552,-221,447,105,0.19
119,CA-2013-104276,0.45,-114,-0.35,Negative,7,331,602,-271,445,157,0.26
120,US-2011-117163,0.2,-17,-0.05,Negative,3,333,416,-83,350,66,0.16
121,CA-2013-155747,0.4,-118,-0.35,Negative,2,337,562,-225,455,107,0.19
122,CA-2013-112102,0,76,0.22,Positive,4,344,344,0,268,76,0.22
123,US-2012-138919,0.4,-103,-0.3,Negative,2,344,573,-229,447,126,0.22
124,CA-2014-121300,0.4,-189,-0.55,Negative,2,344,573,-229,533,40,0.07
125,CA-2012-118738,0.3,-69,-0.2,Negative,7,347,496,-149,416,80,0.16
126,CA-2014-149888,0.4,-140,-0.4,Negative,4,350,583,-233,490,93,0.16
127,US-2011-165862,0.2,4,0.01,Positive,3,351,439,-88,347,92,0.21
128,CA-2011-145800,0.5,-185,-0.52,Negative,3,355,710,-355,540,170,0.24
129,CA-2014-162173,0,61,0.17,Positive,5,357,357,0,296,61,0.17
130,CA-2012-154291,0,39,0.11,Positive,2,359,359,0,320,39,0.11
131,CA-2014-137505,0.2,9,0.03,Positive,2,364,455,-91,355,100,0.22
132,CA-2012-149097,0.2,27,0.08,Positive,3,365,456,-91,338,118,0.26
133,CA-2012-104346,0.5,-248,-0.68,Negative,5,365,730,-365,613,117,0.16
134,CA-2013-142594,0.3,-47,-0.13,Negative,3,366,523,-157,413,110,0.21
135,CA-2012-142027,0.2,-14,-0.04,Negative,3,370,463,-93,384,79,0.17
136,CA-2013-164784,0.4,-142,-0.38,Negative,3,371,618,-247,513,105,0.17
137,CA-2014-132199,0.4,-112,-0.3,Negative,5,373,622,-249,485,137,0.22
138,US-2012-168935,0.45,-157,-0.42,Negative,3,375,682,-307,532,150,0.22
139,CA-2011-168312,0.3,-43,-0.11,Negative,3,377,539,-162,420,119,0.22
140,CA-2013-129861,0.4,-214,-0.57,Negative,3,377,628,-251,591,37,0.06
141,CA-2013-145261,0.5,-264,-0.7,Negative,5,377,754,-377,641,113,0.15
142,CA-2012-131338,0.4,-153,-0.4,Negative,9,383,638,-255,536,102,0.16
143,CA-2013-140928,0.45,-167,-0.44,Negative,4,383,696,-313,550,146,0.21
144,CA-2014-113908,0.4,-115,-0.3,Negative,2,385,642,-257,500,142,0.22
145,CA-2011-145387,0.3,-61,-0.16,Negative,1,386,551,-165,447,104,0.19
146,CA-2014-135937,0.5,-186,-0.48,Negative,9,387,774,-387,573,201,0.26
147,US-2012-140200,0.5,-204,-0.52,Negative,3,393,786,-393,597,189,0.24
148,US-2013-122245,0.5,-204,-0.52,Negative,3,393,786,-393,597,189,0.24
149,CA-2014-125913,0.2,-15,-0.04,Negative,7,400,500,-100,415,85,0.17
150,CA-2014-117513,0.2,-15,-0.04,Negative,7,400,500,-100,415,85,0.17
151,US-2013-150861,0.4,-153,-0.38,Negative,2,400,667,-267,553,114,0.17
152,CA-2011-134572,0.3,-132,-0.33,Negative,2,402,574,-172,534,40,0.07
153,CA-2011-122931,0.4,-82,-0.2,Negative,2,409,682,-273,491,191,0.28
154,CA-2011-142587,0.4,-123,-0.3,Negative,3,410,683,-273,533,150,0.22
155,CA-2014-121419,0,70,0.17,Positive,2,412,412,0,342,70,0.17
156,CA-2014-120376,0,70,0.17,Positive,2,412,412,0,342,70,0.17
157,CA-2014-105921,0.2,5,0.01,Positive,3,418,523,-105,413,110,0.21
158,CA-2011-117765,0,112,0.26,Positive,5,430,430,0,318,112,0.26
159,CA-2012-130974,0.3,0,0,Positive,4,446,637,-191,446,191,0.3
160,CA-2011-159338,0.2,11,0.02,Positive,5,448,560,-112,437,123,0.22
161,CA-2013-114601,0,99,0.22,Positive,4,448,448,0,349,99,0.22
162,CA-2014-148474,0,68,0.15,Positive,3,453,453,0,385,68,0.15
163,CA-2011-136567,0,100,0.22,Positive,2,455,455,0,355,100,0.22
164,CA-2013-134936,0.5,-219,-0.48,Negative,6,456,912,-456,675,237,0.26
165,CA-2014-109085,0.4,-106,-0.23,Negative,5,456,760,-304,562,198,0.26
166,CA-2014-154011,0.3,-85,-0.19,Negative,3,457,653,-196,542,111,0.17
167,CA-2011-160766,0.4,-108,-0.23,Negative,9,464,773,-309,572,201,0.26
168,CA-2013-106950,0.4,-150,-0.32,Negative,3,473,788,-315,623,165,0.21
169,CA-2014-154039,0.5,-269,-0.56,Negative,3,481,962,-481,750,212,0.22
170,CA-2012-164084,0.4,-120,-0.25,Negative,2,481,802,-321,601,201,0.25
171,CA-2014-135419,0.2,36,0.08,Positive,4,486,608,-122,450,158,0.26
172,CA-2011-124723,0.3,42,0.09,Positive,2,489,699,-210,447,252,0.36
173,CA-2012-104129,0.3,-28,-0.06,Negative,7,494,706,-212,522,184,0.26
174,CA-2011-100090,0.2,-88,-0.18,Negative,3,502,628,-126,590,38,0.06
175,CA-2014-113670,0.2,6,0.01,Positive,3,510,638,-128,504,134,0.21
176,US-2014-160836,0.3,-66,-0.13,Negative,5,512,731,-219,578,153,0.21
177,CA-2013-107328,0.2,13,0.03,Positive,2,513,641,-128,500,141,0.22
178,CA-2011-135657,0,113,0.22,Positive,6,516,516,0,403,113,0.22
179,CA-2014-141705,0.3,-81,-0.16,Negative,5,517,739,-222,598,141,0.19
180,CA-2014-143126,0,89,0.17,Positive,2,522,522,0,433,89,0.17
181,US-2011-115189,0.4,-192,-0.37,Negative,3,524,873,-349,716,157,0.18
182,CA-2014-147760,0.4,-192,-0.37,Negative,3,524,873,-349,716,157,0.18
183,CA-2014-151799,0.3,-53,-0.1,Negative,2,527,753,-226,580,173,0.23
184,CA-2013-134334,0.3,-47,-0.09,Negative,3,550,786,-236,597,189,0.24
185,CA-2013-159373,0.3,0,0,Positive,5,558,797,-239,558,239,0.3
186,CA-2013-100993,0.2,7,0.01,Positive,4,558,698,-140,551,147,0.21
187,CA-2013-118073,0.45,-256,-0.45,Negative,7,562,1022,-460,818,204,0.2
188,US-2013-127334,0.5,-305,-0.54,Negative,3,564,1128,-564,869,259,0.23
189,CA-2011-124429,0.2,-28,-0.05,Negative,10,567,709,-142,595,114,0.16
190,CA-2013-126732,0.2,28,0.05,Positive,3,569,711,-142,541,170,0.24
191,US-2014-109253,0.2,28,0.05,Positive,3,569,711,-142,541,170,0.24
192,CA-2011-125829,0.2,-65,-0.11,Negative,4,574,718,-144,639,79,0.11
193,CA-2013-122063,0,105,0.18,Positive,2,582,582,0,477,105,0.18
194,CA-2011-100916,0,112,0.19,Positive,4,591,591,0,479,112,0.19
195,US-2013-115455,0.5,-301,-0.5,Negative,3,601,1202,-601,902,300,0.25
196,CA-2014-146164,0,97,0.16,Positive,2,608,608,0,511,97,0.16
197,US-2012-168704,0.3,-113,-0.19,Negative,4,610,871,-261,723,148,0.17
198,US-2011-148838,0.4,-123,-0.2,Negative,3,614,1023,-409,737,286,0.28
199,US-2011-134614,0.5,-408,-0.66,Negative,6,618,1236,-618,1026,210,0.17
200,US-2014-100930,0.45,-248,-0.4,Negative,3,621,1129,-508,869,260,0.23
201,CA-2012-163055,0,137,0.22,Positive,5,622,622,0,485,137,0.22
202,CA-2013-168032,0.5,-538,-0.86,Negative,3,626,1252,-626,1164,88,0.07
203,CA-2011-105648,0.2,-23,-0.04,Negative,3,626,783,-157,649,134,0.17
204,CA-2011-151295,0.2,31,0.05,Positive,3,629,786,-157,598,188,0.24
205,CA-2013-130820,0.4,-200,-0.32,Negative,4,630,1050,-420,830,220,0.21
206,CA-2013-145730,0.3,-128,-0.2,Negative,3,638,911,-273,766,145,0.16
207,CA-2014-125451,0.3,-128,-0.2,Negative,3,638,911,-273,766,145,0.16
208,US-2014-117247,0.5,-431,-0.66,Negative,5,652,1304,-652,1083,221,0.17
209,CA-2011-169803,0,111,0.17,Positive,3,654,654,0,543,111,0.17
210,CA-2012-135685,0,111,0.17,Positive,3,654,654,0,543,111,0.17
211,CA-2013-125080,0.4,-231,-0.35,Negative,2,661,1102,-441,892,210,0.19
212,CA-2014-130505,0.3,-77,-0.11,Negative,3,673,961,-288,750,211,0.22
213,CA-2013-164399,0.2,-8,-0.01,Negative,3,674,843,-169,682,161,0.19
214,CA-2013-154662,0,173,0.25,Positive,3,693,693,0,520,173,0.25
215,CA-2012-150875,0,160,0.23,Positive,2,696,696,0,536,160,0.23
216,CA-2013-127670,0,146,0.21,Positive,4,697,697,0,551,146,0.21
217,CA-2014-124436,0.2,9,0.01,Positive,5,697,871,-174,688,183,0.21
218,CA-2011-129924,0.2,-17,-0.03,Negative,3,698,873,-175,715,158,0.18
219,CA-2011-155887,0.3,-130,-0.19,Negative,3,700,1000,-300,830,170,0.17
220,CA-2012-133452,0.2,-98,-0.14,Negative,3,711,889,-178,809,80,0.09
221,CA-2014-112529,0.3,-72,-0.1,Negative,6,718,1026,-308,790,236,0.23
222,CA-2014-168389,0.45,-420,-0.58,Negative,6,722,1313,-591,1142,171,0.13
223,US-2013-100839,0.5,-466,-0.64,Negative,5,727,1454,-727,1193,261,0.18
224,CA-2011-124702,0,95,0.13,Positive,4,730,730,0,635,95,0.13
225,CA-2011-134572,0.3,-96,-0.13,Negative,5,744,1063,-319,840,223,0.21
226,CA-2011-168494,0.2,96,0.13,Positive,6,765,956,-191,669,287,0.3
227,US-2014-124968,0.5,-567,-0.74,Negative,7,766,1532,-766,1333,199,0.13
228,CA-2012-110457,0,165,0.21,Positive,3,788,788,0,623,165,0.21
229,CA-2012-124975,0.5,-526,-0.66,Negative,7,796,1592,-796,1322,270,0.17
230,US-2014-142573,0.5,-449,-0.56,Negative,5,802,1604,-802,1251,353,0.22
231,CA-2012-102582,0,200,0.25,Positive,2,802,802,0,602,200,0.25
232,CA-2012-121650,0,200,0.25,Positive,2,802,802,0,602,200,0.25
233,US-2013-146066,0.4,-340,-0.42,Negative,9,815,1358,-543,1155,203,0.15
234,US-2013-143819,0.4,-265,-0.32,Negative,8,837,1395,-558,1102,293,0.21
235,CA-2013-168893,0,160,0.19,Positive,3,843,843,0,683,160,0.19
236,CA-2011-142839,0.4,-227,-0.27,Negative,6,853,1422,-569,1080,342,0.24
237,US-2013-131611,0.3,-160,-0.19,Negative,8,863,1233,-370,1023,210,0.17
238,CA-2013-144148,0.2,-32,-0.04,Negative,7,863,1079,-216,895,184,0.17
239,US-2014-124821,0,148,0.17,Positive,4,871,871,0,723,148,0.17
240,US-2014-128951,0,157,0.18,Positive,3,873,873,0,716,157,0.18
241,CA-2013-162236,0.4,-292,-0.33,Negative,10,876,1460,-584,1168,292,0.2
242,CA-2011-137274,0.3,-153,-0.17,Negative,3,891,1273,-382,1044,229,0.18
243,CA-2013-165330,0.2,112,0.13,Positive,7,892,1115,-223,780,335,0.3
244,CA-2014-115154,0,80,0.09,Positive,2,893,893,0,813,80,0.09
245,CA-2014-102407,0.2,22,0.03,Positive,9,896,1120,-224,874,246,0.22
246,CA-2013-118745,0.2,34,0.04,Positive,3,903,1129,-226,869,260,0.23
247,CA-2013-129868,0.2,34,0.04,Positive,3,903,1129,-226,869,260,0.23
248,CA-2012-120362,0,119,0.13,Positive,5,913,913,0,794,119,0.13
249,CA-2014-147207,0.3,-170,-0.19,Negative,5,913,1304,-391,1083,221,0.17
250,CA-2012-146563,0.3,-118,-0.13,Negative,5,919,1313,-394,1037,276,0.21
251,CA-2014-102204,0.45,-458,-0.49,Negative,4,933,1696,-763,1391,305,0.18
252,CA-2014-132290,0.3,-173,-0.19,Negative,4,933,1333,-400,1106,227,0.17
253,CA-2014-150910,0.4,-249,-0.27,Negative,6,935,1558,-623,1184,374,0.24
254,CA-2011-165764,0.4,-299,-0.32,Negative,6,945,1575,-630,1244,331,0.21
255,US-2012-108966,0.45,-383,-0.4,Negative,5,958,1742,-784,1341,401,0.23
256,US-2014-113992,0.3,-97,-0.1,Negative,4,975,1393,-418,1072,321,0.23
257,CA-2011-159520,0.4,-347,-0.35,Negative,3,992,1653,-661,1339,314,0.19
258,CA-2014-117457,0.2,-113,-0.11,Negative,7,1004,1255,-251,1117,138,0.11
259,CA-2012-153388,0.2,-176,-0.18,Negative,6,1005,1256,-251,1181,75,0.06
260,US-2012-157154,0.4,-373,-0.37,Negative,4,1018,1697,-679,1391,306,0.18
261,CA-2012-127509,0,215,0.21,Positive,7,1024,1024,0,809,215,0.21
262,CA-2012-130890,0.2,52,0.05,Positive,5,1039,1299,-260,987,312,0.24
263,CA-2012-106320,0,240,0.23,Positive,3,1045,1045,0,805,240,0.23
264,US-2014-102890,0.4,-296,-0.28,Negative,5,1045,1742,-697,1341,401,0.23
265,US-2014-164056,0.4,-70,-0.07,Negative,5,1048,1747,-699,1118,629,0.36
266,US-2012-134558,0.3,-105,-0.1,Negative,4,1053,1504,-451,1158,346,0.23
267,CA-2013-102092,0,159,0.15,Positive,7,1057,1057,0,898,159,0.15
268,US-2011-148838,0.4,-554,-0.52,Negative,4,1072,1787,-715,1626,161,0.09
269,CA-2012-124891,0.4,-291,-0.27,Negative,7,1091,1818,-727,1382,436,0.24
270,CA-2013-142958,0.2,42,0.04,Positive,4,1114,1393,-279,1072,321,0.23
271,CA-2013-132304,0,335,0.3,Positive,7,1115,1115,0,780,335,0.3
272,CA-2013-116911,0,260,0.23,Positive,3,1128,1128,0,868,260,0.23
273,CA-2014-126067,0,250,0.22,Positive,5,1138,1138,0,888,250,0.22
274,US-2011-137869,0,107,0.09,Positive,4,1185,1185,0,1078,107,0.09
275,CA-2011-124688,0,301,0.25,Positive,3,1203,1203,0,902,301,0.25
276,US-2011-118997,0,316,0.26,Positive,8,1216,1216,0,900,316,0.26
277,CA-2011-127446,0.3,-122,-0.1,Negative,5,1219,1741,-522,1341,400,0.23
278,CA-2012-119879,0.4,-480,-0.38,Negative,8,1253,2088,-835,1733,355,0.17
279,CA-2011-127614,0,75,0.06,Positive,6,1256,1256,0,1181,75,0.06
280,CA-2013-109869,0.5,-814,-0.64,Negative,6,1273,2546,-1273,2087,459,0.18
281,CA-2013-128223,0.2,81,0.06,Positive,7,1293,1616,-323,1212,404,0.25
282,CA-2011-151995,0,312,0.24,Positive,5,1299,1299,0,987,312,0.24
283,CA-2014-102750,0.2,-99,-0.08,Negative,3,1322,1653,-331,1421,232,0.14
284,CA-2013-113243,0.2,-217,-0.16,Negative,4,1336,1670,-334,1553,117,0.07
285,CA-2011-108609,0.4,-735,-0.52,Negative,8,1422,2370,-948,2157,213,0.09
286,CA-2013-131289,0.2,-195,-0.14,Negative,6,1422,1778,-356,1617,161,0.09
287,CA-2011-132612,0,245,0.17,Positive,7,1441,1441,0,1196,245,0.17
288,CA-2014-116680,0.2,92,0.06,Positive,8,1478,1848,-370,1386,462,0.25
289,US-2014-134481,0.3,-298,-0.2,Negative,7,1488,2126,-638,1786,340,0.16
290,CA-2014-103212,0,346,0.23,Positive,4,1505,1505,0,1159,346,0.23
291,CA-2012-101889,0.4,-465,-0.3,Negative,9,1549,2582,-1033,2014,568,0.22
292,CA-2013-169838,0,329,0.21,Positive,9,1569,1569,0,1240,329,0.21
293,US-2011-148838,0.4,-448,-0.28,Negative,7,1580,2633,-1053,2028,605,0.23
294,CA-2013-105207,0,350,0.22,Positive,7,1593,1593,0,1243,350,0.22
295,US-2012-126214,0,356,0.22,Positive,13,1618,1618,0,1262,356,0.22
296,US-2013-121013,0,314,0.19,Positive,3,1653,1653,0,1339,314,0.19
297,CA-2013-142335,0,231,0.14,Positive,3,1653,1653,0,1422,231,0.14
298,CA-2014-148446,0,117,0.07,Positive,4,1670,1670,0,1553,117,0.07
299,US-2014-105998,0.2,21,0.01,Positive,12,1673,2091,-418,1652,439,0.21
300,US-2013-102239,0,320,0.19,Positive,6,1686,1686,0,1366,320,0.19
301,CA-2011-115812,0.2,85,0.05,Positive,9,1706,2133,-427,1621,512,0.24
302,CA-2013-105081,0,629,0.36,Positive,5,1747,1747,0,1118,629,0.36
303,CA-2014-142090,0.4,-653,-0.37,Negative,7,1782,2970,-1188,2435,535,0.18
304,CA-2014-159100,0.4,-969,-0.52,Negative,7,1875,3125,-1250,2844,281,0.09
305,CA-2012-137113,0,402,0.21,Positive,9,1913,1913,0,1511,402,0.21
306,CA-2013-155530,0.2,-326,-0.16,Negative,6,2004,2505,-501,2330,175,0.07
307,CA-2014-107174,0,367,0.18,Positive,7,2037,2037,0,1670,367,0.18
308,US-2014-110576,0.4,-620,-0.3,Negative,12,2065,3442,-1377,2685,757,0.22
309,CA-2011-136567,0,494,0.22,Positive,7,2244,2244,0,1750,494,0.22
310,CA-2013-113831,0,387,0.17,Positive,10,2276,2276,0,1889,387,0.17
311,US-2014-162558,0.4,-1003,-0.43,Negative,7,2314,3857,-1543,3317,540,0.14
312,CA-2011-126683,0,399,0.17,Positive,9,2349,2349,0,1950,399,0.17
313,CA-2013-104157,0,389,0.16,Positive,8,2430,2430,0,2041,389,0.16
314,CA-2014-123967,0,240,0.09,Positive,9,2666,2666,0,2426,240,0.09
315,US-2013-164196,0,241,0.09,Positive,6,2679,2679,0,2438,241,0.09
316,US-2013-126452,0.2,180,0.06,Positive,9,2887,3609,-722,2707,902,0.25
317,CA-2012-164301,0,611,0.18,Positive,8,3394,3394,0,2783,611,0.18
318,CA-2011-168494,0.2,135,0.04,Positive,12,3611,4514,-903,3476,1038,0.23
319,CA-2012-116638,0.4,-1862,-0.43,Negative,13,4298,7163,-2865,6160,1003,0.14
